Timestamp,Event_Type,Key_Button,X,Y,Action
1770558085.2897255,Mouse,Move,1197,473,Move
1770558085.290713,Mouse,Move,1195,472,Move
1770558085.2917323,Mouse,Move,1192,470,Move
1770558085.2927208,Mouse,Move,1189,468,Move
1770558085.2936952,Mouse,Move,1187,467,Move
1770558085.2947273,Mouse,Move,1184,464,Move
1770558085.2957416,Mouse,Move,1182,463,Move
1770558085.2967548,Mouse,Move,1179,461,Move
1770558085.297729,Mouse,Move,1176,459,Move
1770558085.2987487,Mouse,Move,1173,456,Move
1770558085.2997525,Mouse,Move,1170,455,Move
1770558085.3007386,Mouse,Move,1167,453,Move
1770558085.301732,Mouse,Move,1164,451,Move
1770558085.302736,Mouse,Move,1160,449,Move
1770558085.3037233,Mouse,Move,1157,448,Move
1770558085.3047209,Mouse,Move,1152,444,Move
1770558085.3057294,Mouse,Move,1150,442,Move
1770558085.3067267,Mouse,Move,1145,439,Move
1770558085.3077486,Mouse,Move,1142,438,Move
1770558085.3087244,Mouse,Move,1139,435,Move
1770558085.3097343,Mouse,Move,1135,433,Move
1770558085.3107207,Mouse,Move,1131,431,Move
1770558085.3117216,Mouse,Move,1127,428,Move
1770558085.3126824,Mouse,Move,1124,427,Move
1770558085.3137283,Mouse,Move,1119,424,Move
1770558085.314732,Mouse,Move,1115,423,Move
1770558085.3157248,Mouse,Move,1110,419,Move
1770558085.3167777,Mouse,Move,1107,417,Move
1770558085.317724,Mouse,Move,1104,416,Move
1770558085.318733,Mouse,Move,1098,413,Move
1770558085.3197236,Mouse,Move,1093,410,Move
1770558085.3207655,Mouse,Move,1090,407,Move
1770558085.3217144,Mouse,Move,1086,406,Move
1770558085.3227684,Mouse,Move,1082,403,Move
1770558085.3237622,Mouse,Move,1077,400,Move
1770558085.324773,Mouse,Move,1071,397,Move
1770558085.3257504,Mouse,Move,1068,395,Move
1770558085.326745,Mouse,Move,1063,393,Move
1770558085.327792,Mouse,Move,1058,391,Move
1770558085.3287463,Mouse,Move,1054,388,Move
1770558085.3297408,Mouse,Move,1048,385,Move
1770558085.3307362,Mouse,Move,1043,383,Move
1770558085.331741,Mouse,Move,1040,381,Move
1770558085.3327322,Mouse,Move,1035,378,Move
1770558085.333909,Mouse,Move,1032,376,Move
1770558085.3347235,Mouse,Move,1025,373,Move
1770558085.3357866,Mouse,Move,1021,370,Move
1770558085.3369622,Mouse,Move,1017,369,Move
1770558085.3377244,Mouse,Move,1012,367,Move
